id,startDate,endDate,type
1,2021-12-24,2022-01-06,School
2,2022-04-09,2022-04-18,School
3,2022-06-04,2022-06-06,School
4,2022-10-27,2022-10-31,School
5,2022-11-02,2022-11-02,School
6,2022-12-24,2023-01-06,School
7,2023-04-01,2023-04-10,School
8,2022-01-01,2022-01-01,Public
9,2022-01-06,2022-01-06,Public
10,2022-04-18,2022-04-18,Public
11,2022-05-01,2022-05-01,Public
12,2022-05-26,2022-05-26,Public
13,2022-06-06,2022-06-06,Public
14,2022-06-16,2022-06-16,Public
15,2022-08-15,2022-08-15,Public
16,2022-10-26,2022-10-26,Public
17,2022-11-01,2022-11-01,Public
18,2022-12-08,2022-12-08,Public
19,2022-12-25,2022-12-25,Public
20,2022-12-26,2022-12-26,Public
21,2023-01-01,2023-01-01,Public
22,2023-01-06,2023-01-06,Public
